"SEQN","ACD011A","ACD011B","ACD011C","ACD040","ACD110"
83732,1,,,,
83733,,,9,,
83734,1,,,,
83735,1,,,,
83736,1,,,,
83737,,,,1,
83738,,,,5,
83739,1,,,,
83741,1,,,,
83742,,,,3,
83743,,,,,2
83744,1,,,,
83745,1,,,,
83746,,,,,2
83747,1,,,,
83748,1,,,,
83749,1,,,,
83750,1,,,,
83751,,,,5,
83752,,,,5,
83753,1,,,,
83754,,,,4,
83755,1,,,,
83756,1,,,,
83757,,,,4,
83758,1,,,,
83759,,,,5,
83760,1,,,,
83761,,,,,1
83762,1,,,,
83764,1,,,,
83766,1,,,,
83767,,,,,5
83768,1,,,,
83769,,,,,3
83770,1,,,,
83773,1,,,,
83774,1,,,,
83775,,,,3,
83776,,,,5,
83777,,,,,1
83778,,,,4,
83780,,,,1,
83781,1,,,,
83783,1,,,,
83784,,,,5,
83785,,,,3,
83786,1,,,,
83787,,,,1,
83788,1,,,,
83789,1,,,,
83790,1,8,,,
83791,1,,,,
83792,,,,5,
83793,1,,,,
83794,1,,,,
83795,1,,,,
83796,1,,,,
83799,,,,5,
83800,1,,,,
83801,1,,,,
83802,,,,5,
83803,1,,,,
83805,1,,,,
83807,,,,4,
83808,,,,,5
83809,1,,,,
83810,1,,,,
83811,1,,,,
83812,,,,4,
83813,1,,,,
83814,,,,5,
83815,1,,,,
83816,1,,,,
83817,1,,,,
83818,,,,1,
83819,1,,,,
83820,1,,,,
83821,1,,,,
83822,1,,,,
83823,,,,1,
83824,,,,,1
83825,1,,,,
83826,,,,3,
83827,1,,,,
83828,,,,2,
83829,,,,,5
83830,1,,,,
83831,1,,,,
83832,,,,1,
83833,1,,,,
83834,1,,,,
83835,1,,,,
83836,,,,3,
83837,,,,4,
83838,,,,3,
83839,1,,,,
83841,1,,,,
83843,1,,,,
83844,,,,2,
83845,1,,,,
83846,1,,,,
83847,1,,,,
83848,1,,,,
83849,,,,3,
83850,1,,,,
83851,1,,,,
83853,1,,,,
83854,,,,4,
83855,1,,,,
83856,1,,,,
83857,1,,,,
83860,1,,,,
83861,1,,,,
83862,,,,4,
83863,,,,2,
83864,1,,,,
83865,1,,,,
83866,1,,,,
83867,1,,,,
83868,,,,5,
83869,1,,,,
83870,,,,2,
83871,,,,1,
83872,,,,2,
83873,1,,,,
83874,,,,2,
83875,1,,9,,
83876,1,,,,
83877,,,,,4
83878,1,,,,
83879,1,,,,
83880,,,9,,
83881,1,,,,
83882,,,9,,
83883,,,,1,
83884,,,,2,
83885,,,,,3
83886,1,,,,
83887,1,,9,,
83888,1,,,,
83889,1,,,,
83890,,,,,2
83891,1,,,,
83893,,,,3,
83894,1,,,,
83895,1,,,,
83896,,,,3,
83897,1,,,,
83898,1,,,,
83899,1,,,,
83900,1,,,,
83901,1,,,,
83902,1,,,,
83903,1,,,,
83904,1,,,,
83905,,,,5,
83906,1,,,,
83907,,,,,1
83908,1,,9,,
83909,1,,,,
83910,1,,,,
83911,1,,,,
83913,,,,,1
83914,,,,5,
83915,,,,3,
83916,1,,,,
83917,1,,,,
83918,1,,,,
83919,,,,4,
83920,,,,1,
83921,1,,,,
83924,1,,,,
83925,,,,4,
83926,1,,,,
83927,,,,,3
83928,,,,3,
83929,1,,,,
83930,1,,,,
83931,,,,4,
83932,1,,,,
83933,1,,,,
83934,1,,,,
83935,,,,,3
83936,1,,,,
83937,,,,,1
83938,,,,,3
83940,,,,3,
83941,,,,1,
83943,,,,4,
83944,1,,,,
83945,,,,5,
83946,1,,,,
83947,1,,,,
83948,,,,4,
83949,1,,,,
83950,1,,,,
83951,1,,,,
83952,,,,4,
83953,,,,5,
83954,1,,,,
83955,1,,,,
83958,1,,,,
83959,1,,,,
83960,1,,,,
83961,1,,,,
83962,1,,9,,
83963,1,,,,
83964,,,,,1
83965,,,,4,
83966,,,,1,
83967,1,,,,
83968,1,,,,
83969,1,,,,
83970,,,,,5
83971,1,,,,
83972,,,,4,
83973,1,,,,
83975,,,,3,
83976,1,,,,
83977,1,,,,
83978,1,,,,
83979,,,,5,
83980,1,,,,
83981,1,,,,
83982,1,,,,
83983,,,,3,
83984,,,,4,
83985,1,,,,
83986,1,,,,
83987,,,,1,
83988,,,,4,
83989,1,,,,
83990,,,,1,
83991,1,,,,
83992,,,,,1
83993,1,,,,
83994,1,,,,
83995,1,,,,
83996,1,,,,
83997,1,,,,
83998,1,,,,
83999,,,,,1
84001,,,,5,
84002,1,,,,
84004,,,,5,
84005,1,,,,
84006,1,,,,
84007,1,,,,
84008,,,,,4
84009,1,,,,
84010,1,,,,
84011,1,,,,
84012,,,,5,
84013,1,,,,
84014,,,,,5
84015,,,,2,
84016,,,,5,
84017,,,,2,
84018,1,,,,
84019,1,,,,
84021,1,,,,
84022,,,,5,
84023,1,,,,
84024,1,,,,
84025,1,,,,
84026,1,,,,
84028,1,,,,
84029,,,,5,
84030,,,,1,
84032,,,,1,
84033,1,,,,
84034,1,,,,
84035,,,,4,
84036,1,,,,
84037,1,,,,
84038,1,,,,
84039,1,,,,
84040,,,,,2
84041,1,,,,
84042,1,,,,
84044,,,,1,
84045,1,,,,
84046,1,,,,
84047,,,,,2
84049,,,,2,
84050,1,,,,
84051,,,,4,
84052,1,,,,
84054,,,,4,
84055,,,,,1
84056,,,,,1
84057,1,,,,
84058,1,,,,
84059,1,,,,
84061,1,,,,
84062,,,,1,
84063,,,9,,
84065,1,,,,
84066,1,,,,
84068,1,,,,
84069,1,,,,
84070,1,,,,
84071,,,,,4
84072,,,,2,
84073,,,,5,
84074,,,,1,
84075,1,,,,
84076,,,,2,
84077,,,,1,
84078,1,,,,
84079,1,,,,
84082,,,,,1
84083,,,9,,
84084,1,,9,,
84085,1,,9,,
84086,1,,,,
84087,,,,,3
84088,1,,,,
84089,1,,,,
84090,1,,,,
84091,1,,,,
84092,,,,,1
84093,,,,4,
84094,1,,,,
84095,1,,,,
84096,1,,,,
84097,,,,4,
84098,,,9,,
84099,,,,3,
84100,,,,1,
84101,1,,,,
84102,1,,,,
84103,1,,,,
84105,1,,,,
84106,,,,,1
84107,,,,1,
84108,1,,,,
84109,1,,,,
84110,,,,2,
